game_id,created_at,bone_count,revealed_count,hit_bone,cash_out_position,multiplier,is_simulated,bone_positions,chicken_positions,revealed_sequence,first_position,last_position,game_duration_positions,success_rate,risk_level
cml7wmolm029a29egbyqhrjbe,2026-02-04T10:48:28.427Z,4,4,false,4,1.7,true,"4,6,12,18","1,2,3,5,7,8,9,10,11,13,14,15,16,17,19,20,21,22,23,24,25","14,23,8,11",14,11,4,1.000,LOW
cml7wmol4028k29ego1hld425,2026-02-04T10:48:28.408Z,4,1,true,,,true,"5,17,23,24","1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,25","23",23,23,1,0.000,LOW
cml7wmokl027u29egmpblgh89,2026-02-04T10:48:28.389Z,4,3,true,,,true,"6,13,15,25","1,2,3,4,5,7,8,9,10,11,12,14,16,17,18,19,20,21,22,23,24","14,19,15",14,15,3,0.667,LOW
cml7wmok3027429egi1xnzzp3,2026-02-04T10:48:28.371Z,4,4,false,4,1.7,true,"4,12,16,20","1,2,3,5,6,7,8,9,10,11,13,14,15,17,18,19,21,22,23,24,25","23,19,11,13",23,13,4,1.000,LOW
cml7wmojl026e29egxv8hjs82,2026-02-04T10:48:28.353Z,4,4,false,4,1.7,true,"2,3,6,15","1,4,5,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25","22,19,11,7",22,7,4,1.000,LOW
cml7wmoiw025o29egeb8hndwz,2026-02-04T10:48:28.328Z,4,4,false,4,1.7,true,"1,2,15,22","3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,23,24,25","12,14,23,11",12,11,4,1.000,LOW
cml7wmoie024y29egpheynv8a,2026-02-04T10:48:28.310Z,4,3,true,,,true,"3,4,7,9","1,2,5,6,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25","19,13,7",19,7,3,0.667,LOW
cml7wmohv024829egiij7nua6,2026-02-04T10:48:28.292Z,4,4,false,4,1.7,true,"2,12,16,22","1,3,4,5,6,7,8,9,10,11,13,14,15,17,18,19,20,21,23,24,25","13,23,14,11",13,11,4,1.000,LOW
cml7wmohd023i29egr4wa9aoo,2026-02-04T10:48:28.274Z,4,4,false,4,1.7,true,"1,3,4,19","2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25","11,12,8,13",11,13,4,1.000,LOW
cml7wmogv022s29egzy6w1a8n,2026-02-04T10:48:28.255Z,4,4,false,4,1.7,true,"5,16,21,23","1,2,3,4,6,7,8,9,10,11,12,13,14,15,17,18,19,20,22,24,25","14,19,15,13",14,13,4,1.000,LOW
cml7wmog9022229egbmo94zib,2026-02-04T10:48:28.234Z,4,4,false,4,1.7,true,"1,9,21,25","2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,22,23,24","22,23,19,14",22,14,4,1.000,LOW
cml7wmofm021c29eg8xv6hf5g,2026-02-04T10:48:28.211Z,4,4,false,4,1.7,true,"2,5,16,18","1,3,4,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25","7,23,8,12",7,12,4,1.000,LOW
cml7wmof2020m29egpd9wq02l,2026-02-04T10:48:28.191Z,4,4,true,,,true,"4,12,18,21","1,2,3,5,6,7,8,9,10,11,13,14,15,16,17,19,20,22,23,24,25","22,8,13,12",22,12,4,0.750,LOW
cml7wmoee01zw29egzjm66ehg,2026-02-04T10:48:28.166Z,4,4,false,4,1.7,true,"10,19,20,24","1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,21,22,23,25","23,12,13,15",23,15,4,1.000,LOW
cml7wmodm01z629eg6i8d6je8,2026-02-04T10:48:28.139Z,4,2,true,,,true,"1,13,16,19","2,3,4,5,6,7,8,9,10,11,12,14,15,17,18,20,21,22,23,24,25","23,19",23,19,2,0.500,LOW
cml7wmod101yg29egy4t0pqkq,2026-02-04T10:48:28.117Z,4,4,false,4,1.7,true,"9,12,20,21","1,2,3,4,5,6,7,8,10,11,13,14,15,16,17,18,19,22,23,24,25","23,11,14,15",23,15,4,1.000,LOW
cml7wmocf01xq29eg8sbx58y0,2026-02-04T10:48:28.095Z,4,4,false,4,1.7,true,"4,5,17,19","1,2,3,6,7,8,9,10,11,12,13,14,15,16,18,20,21,22,23,24,25","14,23,11,13",14,13,4,1.000,LOW
cml7wmobw01x029egf31448li,2026-02-04T10:48:28.077Z,4,3,true,,,true,"16,17,19,21","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,20,22,23,24,25","11,15,19",11,19,3,0.667,LOW
